"","V1"
"Q 17853",2
"Q 17854",5
"Q 17855",5
"Q 17856",2
"Q 17857",1
"Q 17858",1
"Q 17859",1
"Q 17860",4
"Q 17861",1
"Q 17862",5
"Q 17863",4
"Q 17864",4
"Q 17865",1
"Q 17866",4
"Q 17867",5
"Q 17868",2
"Q 17869",3
"Q 17870",5
"Q 17871",4
"Q 17872",2
"Q 17873",5
"Q 17874",1
"Q 17875",2
"Q 17876",5
"Q 17877",3
"Q 17878",2
"Q 17879",3
"Q 17880",5
"Q 17881",5
"Q 17882",1
"Q 17883",3
"Q 17884",4
"Q 17885",3
"Q 17886",3
"Q 17887",5
"Q 17888",3
"Q 17889",2
"Q 17890",1
"Q 17891",2
"Q 17892",3
"Q 17893",2
"Q 17894",4
"Q 17895",2
"Q 17896",3
"Q 17897",4
"Q 17898",4
"Q 17899",2
"Q 17900",1
"Q 17901",5
"Q 17902",1
"Q 17903",4
"Q 17904",5
"Q 17905",2
"Q 17906",4
"Q 17907",2
"Q 17908",2
"Q 17909",2
"Q 17910",1
"Q 17911",4
"Q 17912",1
"Q 17913",4
"Q 17914",3
"Q 17915",3
"Q 17916",4
"Q 17917",2
"Q 17918",5
"Q 17919",2
"Q 17920",5
"Q 17921",4
"Q 17922",4
"Q 17923",3
"Q 17924",2
"Q 17925",1
"Q 17926",5
"Q 17927",5
"Q 17928",5
"Q 17929",3
"Q 17930",4
"Q 17931",2
"Q 17932",2
"Q 17933",2
"Q 17934",5
"Q 17935",4
"Q 17936",4
"Q 17937",1
"Q 17938",1
"Q 17939",5
"Q 17940",4
"Q 17941",5
"Q 17942",4
"Q 17943",3
"Q 17944",5
"Q 17945",5
"Q 17946",1
"Q 17947",5
"Q 17948",5
"Q 17949",2
"Q 17950",3
"Q 17951",4
"Q 17952",5
"Q 17953",4
"Q 17954",2
"Q 17955",1
"Q 17956",5
"Q 17957",5
"Q 17958",2
"Q 17959",2
"Q 17960",5
"Q 17961",2
"Q 17962",4
"Q 17963",3
"Q 17964",2
"Q 17965",1
"Q 17966",2
"Q 17967",4
"Q 17968",1
"Q 17969",3
"Q 17970",3
"Q 17971",2
"Q 17972",2
"Q 17973",5
"Q 17974",1
"Q 17975",3
"Q 17976",4
"Q 17977",4
"Q 17978",4
"Q 17979",2
"Q 17980",1
"Q 17981",3
"Q 17982",5
"Q 17983",3
"Q 17984",4
"Q 17985",3
"Q 17986",1
"Q 17987",3
"Q 17988",4
"Q 17989",1
"Q 17990",1
"Q 17991",3
"Q 17992",3
"Q 17993",4
"Q 17994",3
"Q 17995",5
"Q 17996",1
"Q 17997",3
"Q 17998",2
"Q 17999",4
"Q 18000",1
"Q 18001",2
"Q 18002",1
"Q 18003",4
"Q 18004",5
"Q 18005",5
"Q 18006",2
"Q 18007",2
"Q 18008",3
"Q 18009",2
"Q 18010",2
"Q 18011",4
"Q 18012",4
"Q 18013",3
"Q 18014",3
"Q 18015",5
"Q 18016",5
"Q 18017",3
"Q 18018",1
"Q 18019",4
"Q 18020",1
"Q 18021",1
"Q 18022",2
"Q 18023",3
"Q 18024",5
"Q 18025",3
"Q 18026",4
"Q 18027",3
"Q 18028",3
"Q 18029",5
"Q 18030",4
"Q 18031",3
"Q 18032",5
"Q 18033",5
"Q 18034",5
"Q 18035",5
"Q 18036",3
"Q 18037",5
"Q 18038",2
"Q 18039",3
"Q 18040",3
"Q 18041",1
"Q 18042",3
"Q 18043",4
"Q 18044",2
"Q 18045",1
"Q 18046",2
"Q 18047",1
"Q 18048",3
"Q 18049",2
"Q 18050",4
"Q 18051",1
"Q 18052",5
"Q 18053",4
"Q 18054",1
"Q 18055",4
"Q 18056",2
"Q 18057",3
"Q 18058",1
"Q 18059",3
"Q 18060",3
"Q 18061",3
"Q 18062",1
"Q 18063",1
"Q 18064",3
"Q 18065",4
"Q 18066",5
"Q 18067",4
"Q 18068",1
"Q 18069",3
"Q 18070",1
"Q 18071",5
"Q 18072",4
"Q 18073",2
"Q 18074",1
"Q 18075",4
"Q 18076",4
"Q 18077",2
"Q 18078",3
"Q 18079",3
"Q 18080",4
"Q 18081",5
"Q 18082",3
"Q 18083",3
"Q 18084",3
"Q 18085",2
"Q 18086",3
"Q 18087",2
"Q 18088",5
"Q 18089",3
"Q 18090",5
"Q 18091",2
"Q 18092",4
"Q 18093",2
"Q 18094",5
"Q 18095",3
"Q 18096",2
"Q 18097",2
"Q 18098",5
"Q 18099",1
"Q 18100",3
"Q 18101",3
"Q 18102",3
"Q 18103",5
"Q 18104",3
"Q 18105",3
"Q 18106",5
"Q 18107",2
"Q 18108",2
"Q 18109",2
"Q 18110",4
"Q 18111",5
"Q 18112",1
"Q 18113",2
"Q 18114",4
"Q 18115",1
"Q 18116",1
"Q 18117",2
"Q 18118",1
"Q 18119",5
"Q 18120",3
"Q 18121",5
"Q 18122",3
"Q 18123",4
"Q 18124",1
"Q 18125",4
"Q 18126",1
"Q 18127",2
"Q 18128",3
"Q 18129",5
"Q 18130",3
"Q 18131",5
"Q 18132",5
"Q 18133",1
"Q 18134",1
"Q 18135",3
"Q 18136",5
"Q 18137",3
"Q 18138",3
"Q 18139",4
"Q 18140",3
"Q 18141",3
"Q 18142",4
"Q 18143",1
"Q 18144",5
"Q 18145",2
"Q 18146",1
"Q 18147",1
"Q 18148",4
"Q 18149",5
"Q 18150",5
"Q 18151",5
"Q 18152",5
"Q 18153",1
"Q 18154",2
"Q 18155",1
"Q 18156",5
"Q 18157",4
"Q 18158",5
"Q 18159",3
"Q 18160",3
"Q 18161",5
"Q 18162",2
"Q 18163",4
"Q 18164",1
"Q 18165",4
"Q 18166",5
"Q 18167",3
"Q 18168",1
"Q 18169",4
"Q 18170",2
"Q 18171",4
"Q 18172",5
"Q 18173",3
"Q 18174",4
"Q 18175",4
"Q 18176",1
"Q 18177",4
"Q 18178",2
"Q 18179",1
"Q 18180",2
"Q 18181",5
"Q 18182",5
"Q 18183",1
"Q 18184",1
"Q 18185",2
"Q 18186",3
"Q 18187",4
"Q 18188",4
"Q 18189",3
"Q 18190",5
"Q 18191",2
"Q 18192",4
"Q 18193",3
"Q 18194",2
"Q 18195",1
"Q 18196",4
"Q 18197",3
"Q 18198",5
"Q 18199",2
"Q 18200",3
"Q 18201",5
"Q 18202",5
"Q 18203",3
"Q 18204",1
"Q 18205",5
"Q 18206",5
"Q 18207",4
"Q 18208",1
"Q 18209",4
"Q 18210",3
"Q 18211",1
"Q 18212",2
"Q 18213",2
"Q 18214",5
"Q 18215",2
"Q 18216",2
"Q 18217",2
"Q 18218",4
"Q 18219",1
"Q 18220",1
"Q 18221",2
"Q 18222",5
"Q 18223",2
"Q 18224",5
"Q 18225",4
"Q 18226",3
"Q 18227",5
"Q 18228",1
"Q 18229",3
"Q 18230",4
"Q 18231",4
"Q 18232",1
"Q 18233",4
"Q 18234",5
"Q 18235",4
"Q 18236",2
"Q 18237",4
"Q 18238",2
"Q 18239",2
"Q 18240",5
"Q 18241",5
"Q 18242",1
"Q 18243",1
"Q 18244",3
"Q 18245",3
"Q 18246",3
"Q 18247",5
"Q 18248",1
"Q 18249",1
"Q 18250",4
"Q 18251",2
"Q 18252",2
"Q 18253",2
"Q 18254",1
"Q 18255",2
"Q 18256",4
"Q 18257",4
"Q 18258",5
"Q 18259",4
"Q 18260",4
"Q 18261",3
"Q 18262",2
"Q 18263",4
"Q 18264",4
"Q 18265",5
"Q 18266",4
"Q 18267",3
"Q 18268",2
"Q 18269",2
"Q 18270",3
"Q 18271",2
"Q 18272",1
"Q 18273",1
"Q 18274",4
"Q 18275",5
"Q 18276",2
"Q 18277",2
"Q 18278",3
"Q 18279",3
"Q 18280",4
"Q 18281",5
"Q 18282",3
"Q 18283",4
"Q 18284",2
"Q 18285",3
"Q 18286",5
"Q 18287",5
"Q 18288",4
"Q 18289",4
"Q 18290",5
"Q 18291",5
"Q 18292",3
"Q 18293",1
"Q 18294",1
"Q 18295",5
"Q 18296",4
"Q 18297",1
"Q 18298",1
"Q 18299",3
"Q 18300",4
"Q 18301",3
"Q 18302",4
"Q 18303",4
"Q 18304",2
"Q 18305",4
"Q 18306",3
"Q 18307",5
"Q 18308",1
"Q 18309",5
"Q 18310",1
"Q 18311",3
"Q 18312",4
"Q 18313",2
"Q 18314",4
"Q 18315",4
"Q 18316",2
"Q 18317",2
"Q 18318",1
"Q 18319",2
"Q 18320",3
"Q 18321",1
"Q 18322",5
"Q 18323",5
"Q 18324",2
"Q 18325",4
"Q 18326",2
"Q 18327",3
"Q 18328",5
"Q 18329",2
"Q 18330",1
"Q 18331",2
"Q 18332",1
"Q 18333",1
"Q 18334",5
"Q 18335",2
"Q 18336",2
"Q 18337",1
"Q 18338",5
"Q 18339",2
"Q 18340",1
"Q 18341",3
"Q 18342",2
"Q 18343",4
"Q 18344",5
"Q 18345",3
"Q 18346",2
"Q 18347",2
"Q 18348",3
"Q 18349",4
"Q 18350",4
"Q 18351",4
"Q 18352",5
"Q 18353",5
"Q 18354",5
"Q 18355",1
"Q 18356",4
"Q 18357",1
"Q 18358",4
"Q 18359",1
"Q 18360",5
"Q 18361",4
"Q 18362",5
"Q 18363",4
"Q 18364",3
"Q 18365",3
"Q 18366",4
"Q 18367",4
"Q 18368",2
"Q 18369",4
"Q 18370",3
"Q 18371",2
"Q 18372",4
"Q 18373",5
"Q 18374",5
"Q 18375",2
"Q 18376",1
"Q 18377",1
"Q 18378",1
"Q 18379",1
"Q 18380",2
"Q 18381",1
"Q 18382",5
"Q 18383",2
"Q 18384",2
"Q 18385",1
"Q 18386",2
"Q 18387",4
"Q 18388",4
"Q 18389",5
"Q 18390",1
"Q 18391",3
"Q 18392",3
"Q 18393",3
"Q 18394",5
"Q 18395",3
"Q 18396",2
"Q 18397",5
"Q 18398",4
"Q 18399",2
"Q 18400",2
"Q 18401",4
"Q 18402",4
"Q 18403",2
"Q 18404",2
"Q 18405",3
"Q 18406",2
"Q 18407",4
"Q 18408",3
"Q 18409",5
"Q 18410",4
"Q 18411",2
"Q 18412",3
"Q 18413",2
"Q 18414",3
"Q 18415",2
"Q 18416",4
"Q 18417",3
"Q 18418",2
"Q 18419",2
"Q 18420",4
"Q 18421",1
"Q 18422",2
"Q 18423",4
"Q 18424",5
"Q 18425",4
"Q 18426",5
"Q 18427",3
"Q 18428",1
"Q 18429",5
"Q 18430",2
"Q 18431",2
"Q 18432",3
"Q 18433",1
"Q 18434",2
"Q 18435",5
"Q 18436",3
"Q 18437",3
"Q 18438",3
"Q 18439",4
"Q 18440",4
"Q 18441",5
"Q 18442",4
"Q 18443",3
"Q 18444",4
"Q 18445",5
"Q 18446",1
"Q 18447",5
"Q 18448",3
"Q 18449",5
"Q 18450",2
"Q 18451",4
"Q 18452",3
"Q 18453",5
"Q 18454",4
"Q 18455",5
"Q 18456",5
"Q 18457",3
"Q 18458",2
"Q 18459",3
"Q 18460",5
"Q 18461",5
"Q 18462",1
"Q 18463",1
"Q 18464",3
"Q 18465",4
"Q 18466",5
"Q 18467",1
"Q 18468",4
"Q 18469",2
"Q 18470",5
"Q 18471",1
"Q 18472",4
"Q 18473",5
"Q 18474",3
"Q 18475",4
"Q 18476",1
"Q 18477",2
"Q 18478",5
"Q 18479",5
"Q 18480",4
"Q 18481",2
"Q 18482",3
"Q 18483",2
"Q 18484",5
"Q 18485",1
"Q 18486",1
"Q 18487",4
"Q 18488",2
"Q 18489",1
"Q 18490",2
"Q 18491",2
"Q 18492",4
"Q 18493",2
"Q 18494",1
"Q 18495",3
"Q 18496",2
"Q 18497",3
"Q 18498",5
"Q 18499",3
"Q 18500",4
"Q 18501",5
"Q 18502",5
"Q 18503",2
"Q 18504",5
"Q 18505",5
"Q 18506",3
"Q 18507",3
"Q 18508",1
"Q 18509",4
"Q 18510",5
"Q 18511",2
"Q 18512",3
"Q 18513",4
"Q 18514",4
"Q 18515",3
"Q 18516",3
"Q 18517",1
"Q 18518",3
"Q 18519",2
"Q 18520",3
"Q 18521",4
"Q 18522",5
"Q 18523",4
"Q 18524",2
"Q 18525",3
"Q 18526",1
"Q 18527",3
"Q 18528",3
"Q 18529",3
"Q 18530",2
"Q 18531",4
"Q 18532",4
"Q 18533",4
"Q 18534",1
"Q 18535",3
"Q 18536",3
"Q 18537",5
"Q 18538",3
"Q 18539",3
"Q 18540",5
"Q 18541",5
"Q 18542",4
"Q 18543",5
"Q 18544",3
"Q 18545",3
"Q 18546",5
"Q 18547",2
"Q 18548",2
"Q 18549",3
"Q 18550",2
"Q 18551",5
"Q 18552",5
"Q 18553",5
"Q 18554",3
"Q 18555",3
"Q 18556",2
"Q 18557",2
"Q 18558",3
"Q 18559",3
"Q 18560",1
"Q 18561",2
"Q 18562",5
"Q 18563",5
"Q 18564",1
"Q 18565",1
"Q 18566",5
"Q 18567",2
"Q 18568",4
"Q 18569",4
"Q 18570",2
"Q 18571",1
"Q 18572",2
"Q 18573",2
"Q 18574",1
"Q 18575",3
"Q 18576",5
"Q 18577",4
"Q 18578",4
"Q 18579",3
"Q 18580",2
"Q 18581",2
"Q 18582",1
"Q 18583",2
"Q 18584",2
"Q 18585",3
"Q 18586",3
"Q 18587",2
"Q 18588",5
"Q 18589",2
"Q 18590",3
"Q 18591",5
"Q 18592",5
"Q 18593",5
"Q 18594",3
"Q 18595",3
"Q 18596",4
"Q 18597",5
"Q 18598",4
"Q 18599",4
"Q 18600",5
"Q 18601",3
"Q 18602",4
"Q 18603",5
"Q 18604",5
"Q 18605",3
"Q 18606",3
"Q 18607",1
"Q 18608",3
"Q 18609",2
"Q 18610",3
"Q 18611",2
"Q 18612",5
"Q 18613",5
"Q 18614",5
"Q 18615",4
"Q 18616",2
"Q 18617",2
"Q 18618",3
"Q 18619",1
"Q 18620",4
"Q 18621",1
"Q 18622",5
"Q 18623",1
"Q 18624",2
"Q 18625",3
"Q 18626",3
"Q 18627",3
"Q 18628",5
"Q 18629",2
"Q 18630",1
"Q 18631",2
"Q 18632",2
"Q 18633",2
"Q 18634",1
"Q 18635",3
"Q 18636",4
"Q 18637",4
"Q 18638",5
"Q 18639",3
"Q 18640",4
"Q 18641",1
"Q 18642",3
"Q 18643",3
"Q 18644",2
"Q 18645",1
"Q 18646",1
"Q 18647",3
"Q 18648",2
"Q 18649",2
"Q 18650",5
"Q 18651",4
"Q 18652",2
"Q 18653",5
"Q 18654",3
"Q 18655",2
"Q 18656",1
"Q 18657",4
"Q 18658",2
"Q 18659",2
"Q 18660",1
"Q 18661",1
"Q 18662",4
"Q 18663",1
"Q 18664",2
"Q 18665",3
"Q 18666",2
"Q 18667",5
"Q 18668",1
"Q 18669",1
"Q 18670",3
"Q 18671",3
"Q 18672",5
"Q 18673",3
"Q 18674",3
"Q 18675",1
"Q 18676",1
"Q 18677",4
"Q 18678",1
"Q 18679",5
"Q 18680",3
"Q 18681",4
"Q 18682",4
"Q 18683",1
"Q 18684",4
"Q 18685",2
"Q 18686",4
"Q 18687",5
"Q 18688",1
"Q 18689",2
"Q 18690",5
"Q 18691",5
"Q 18692",2
"Q 18693",3
"Q 18694",5
"Q 18695",1
"Q 18696",4
"Q 18697",2
"Q 18698",3
"Q 18699",4
"Q 18700",3
"Q 18701",5
"Q 18702",1
"Q 18703",2
"Q 18704",3
"Q 18705",4
"Q 18706",1
"Q 18707",4
"Q 18708",3
"Q 18709",2
"Q 18710",5
"Q 18711",1
"Q 18712",4
"Q 18713",1
"Q 18714",1
"Q 18715",4
"Q 18716",3
"Q 18717",3
"Q 18718",3
"Q 18719",3
"Q 18720",4
"Q 18721",1
"Q 18722",1
"Q 18723",4
"Q 18724",1
"Q 18725",5
"Q 18726",4
"Q 18727",4
"Q 18728",3
"Q 18729",4
"Q 18730",5
"Q 18731",3
"Q 18732",4
"Q 18733",1
"Q 18734",1
"Q 18735",3
"Q 18736",1
"Q 18737",3
"Q 18738",1
"Q 18739",3
"Q 18740",3
"Q 18741",5
"Q 18742",2
"Q 18743",2
"Q 18744",5
"Q 18745",2
"Q 18746",4
"Q 18747",1
"Q 18748",1
"Q 18749",1
"Q 18750",2
"Q 18751",1
"Q 18752",2
"Q 18753",2
"Q 18754",5
"Q 18755",4
"Q 18756",3
"Q 18757",5
"Q 18758",4
"Q 18759",2
"Q 18760",5
"Q 18761",3
"Q 18762",3
"Q 18763",3
"Q 18764",1
"Q 18765",5
"Q 18766",3
"Q 18767",2
"Q 18768",2
"Q 18769",1
"Q 18770",3
"Q 18771",3
"Q 18772",2
"Q 18773",5
"Q 18774",4
"Q 18775",3
"Q 18776",4
"Q 18777",2
"Q 18778",5
"Q 18779",3
"Q 18780",1
"Q 18781",1
"Q 18782",5
"Q 18783",5
"Q 18784",1
"Q 18785",4
"Q 18786",4
"Q 18787",4
"Q 18788",2
"Q 18789",5
"Q 18790",2
"Q 18791",4
"Q 18792",5
"Q 18793",3
"Q 18794",5
"Q 18795",1
"Q 18796",2
"Q 18797",4
"Q 18798",4
"Q 18799",4
"Q 18800",1
"Q 18801",1
"Q 18802",2
"Q 18803",1
"Q 18804",1
"Q 18805",2
"Q 18806",5
"Q 18807",2
"Q 18808",3
"Q 18809",2
"Q 18810",2
"Q 18811",5
"Q 18812",5
"Q 18813",5
"Q 18814",4
"Q 18815",4
"Q 18816",5
"Q 18817",2
"Q 18818",3
"Q 18819",2
"Q 18820",2
"Q 18821",3
"Q 18822",1
"Q 18823",4
"Q 18824",5
"Q 18825",5
"Q 18826",5
"Q 18827",4
"Q 18828",1
"Q 18829",3
"Q 18830",1
"Q 18831",2
"Q 18832",2
"Q 18833",2
"Q 18834",2
"Q 18835",3
"Q 18836",2
"Q 18837",2
"Q 18838",3
"Q 18839",3
"Q 18840",1
"Q 18841",5
"Q 18842",5
"Q 18843",3
"Q 18844",5
"Q 18845",5
"Q 18846",2
"Q 18847",1
"Q 18848",2
"Q 18849",4
"Q 18850",4
"Q 18851",4
"Q 18852",5
"Q 18853",3
"Q 18854",1
"Q 18855",3
"Q 18856",3
"Q 18857",4
"Q 18858",1
"Q 18859",2
"Q 18860",2
"Q 18861",4
"Q 18862",4
"Q 18863",3
"Q 18864",1
"Q 18865",1
"Q 18866",2
"Q 18867",5
"Q 18868",3
"Q 18869",4
"Q 18870",5
"Q 18871",3
"Q 18872",1
"Q 18873",2
"Q 18874",4
"Q 18875",4
"Q 18876",2
"Q 18877",4
"Q 18878",1
"Q 18879",2
"Q 18880",3
"Q 18881",3
"Q 18882",5
"Q 18883",3
"Q 18884",1
"Q 18885",3
"Q 18886",4
"Q 18887",1
"Q 18888",1
"Q 18889",4
"Q 18890",3
"Q 18891",5
"Q 18892",4
"Q 18893",3
"Q 18894",5
"Q 18895",3
"Q 18896",5
"Q 18897",4
"Q 18898",4
"Q 18899",3
"Q 18900",3
"Q 18901",4
"Q 18902",4
"Q 18903",3
"Q 18904",4
"Q 18905",4
"Q 18906",1
"Q 18907",4
"Q 18908",3
"Q 18909",2
"Q 18910",1
"Q 18911",4
"Q 18912",1
"Q 18913",2
"Q 18914",3
"Q 18915",3
"Q 18916",5
"Q 18917",3
"Q 18918",2
"Q 18919",5
"Q 18920",3
"Q 18921",2
"Q 18922",5
"Q 18923",5
"Q 18924",1
"Q 18925",4
"Q 18926",2
"Q 18927",3
"Q 18928",4
"Q 18929",5
"Q 18930",4
"Q 18931",2
"Q 18932",4
"Q 18933",2
"Q 18934",3
"Q 18935",3
"Q 18936",2
"Q 18937",2
"Q 18938",5
"Q 18939",4
"Q 18940",4
"Q 18941",4
"Q 18942",2
"Q 18943",4
"Q 18944",5
"Q 18945",5
"Q 18946",4
"Q 18947",4
"Q 18948",1
"Q 18949",3
"Q 18950",2
"Q 18951",1
"Q 18952",2
"Q 18953",5
"Q 18954",3
"Q 18955",5
"Q 18956",2
"Q 18957",2
"Q 18958",1
"Q 18959",2
"Q 18960",5
"Q 18961",2
"Q 18962",3
"Q 18963",4
"Q 18964",3
"Q 18965",2
"Q 18966",3
"Q 18967",2
"Q 18968",2
"Q 18969",1
"Q 18970",5
"Q 18971",2
"Q 18972",3
"Q 18973",2
"Q 18974",1
"Q 18975",2
"Q 18976",5
"Q 18977",2
"Q 18978",5
"Q 18979",3
"Q 18980",2
"Q 18981",4
"Q 18982",4
"Q 18983",3
"Q 18984",2
"Q 18985",3
"Q 18986",4
"Q 18987",3
"Q 18988",3
"Q 18989",2
"Q 18990",4
"Q 18991",4
"Q 18992",5
"Q 18993",3
"Q 18994",3
"Q 18995",1
"Q 18996",5
"Q 18997",1
"Q 18998",2
"Q 18999",3
"Q 19000",2
"Q 19001",3
"Q 19002",5
"Q 19003",1
"Q 19004",3
"Q 19005",5
"Q 19006",1
"Q 19007",3
"Q 19008",2
"Q 19009",3
"Q 19010",3
"Q 19011",2
"Q 19012",3
"Q 19013",2
"Q 19014",2
"Q 19015",1
"Q 19016",4
"Q 19017",3
"Q 19018",3
"Q 19019",4
"Q 19020",2
"Q 19021",2
"Q 19022",5
"Q 19023",5
"Q 19024",1
"Q 19025",1
"Q 19026",1
"Q 19027",4
"Q 19028",4
"Q 19029",2
"Q 19030",2
"Q 19031",1
"Q 19032",3
"Q 19033",2
"Q 19034",5
"Q 19035",5
"Q 19036",1
"Q 19037",2
"Q 19038",1
"Q 19039",4
"Q 19040",4
"Q 19041",4
"Q 19042",3
"Q 19043",1
"Q 19044",4
"Q 19045",3
"Q 19046",5
"Q 19047",1
"Q 19048",5
"Q 19049",3
"Q 19050",4
"Q 19051",2
"Q 19052",2
"Q 19053",5
"Q 19054",2
"Q 19055",2
"Q 19056",5
"Q 19057",3
"Q 19058",4
"Q 19059",5
"Q 19060",2
"Q 19061",1
"Q 19062",2
"Q 19063",4
"Q 19064",2
"Q 19065",3
"Q 19066",3
"Q 19067",4
"Q 19068",3
"Q 19069",2
"Q 19070",3
"Q 19071",3
"Q 19072",4
"Q 19073",3
"Q 19074",5
"Q 19075",1
"Q 19076",5
"Q 19077",2
"Q 19078",1
"Q 19079",4
"Q 19080",4
"Q 19081",5
"Q 19082",4
"Q 19083",4
"Q 19084",3
"Q 19085",4
"Q 19086",1
"Q 19087",2
"Q 19088",2
"Q 19089",5
"Q 19090",1
"Q 19091",2
"Q 19092",5
"Q 19093",4
"Q 19094",5
"Q 19095",1
"Q 19096",2
"Q 19097",3
"Q 19098",4
"Q 19099",1
"Q 19100",5
"Q 19101",5
"Q 19102",3
"Q 19103",5
"Q 19104",4
"Q 19105",3
"Q 19106",3
"Q 19107",3
"Q 19108",5
"Q 19109",4
"Q 19110",3
"Q 19111",4
"Q 19112",3
"Q 19113",5
"Q 19114",5
"Q 19115",5
"Q 19116",3
"Q 19117",4
"Q 19118",2
"Q 19119",2
"Q 19120",4
"Q 19121",1
"Q 19122",3
"Q 19123",4
"Q 19124",5
"Q 19125",1
"Q 19126",1
"Q 19127",3
"Q 19128",1
"Q 19129",1
"Q 19130",3
"Q 19131",5
"Q 19132",1
"Q 19133",3
"Q 19134",4
"Q 19135",2
"Q 19136",1
"Q 19137",3
"Q 19138",3
"Q 19139",1
"Q 19140",1
"Q 19141",2
"Q 19142",2
"Q 19143",5
"Q 19144",1
"Q 19145",5
"Q 19146",1
"Q 19147",1
"Q 19148",5
"Q 19149",5
"Q 19150",3
"Q 19151",4
"Q 19152",4
"Q 19153",1
"Q 19154",5
"Q 19155",2
"Q 19156",3
"Q 19157",2
"Q 19158",1
"Q 19159",1
"Q 19160",3
"Q 19161",1
"Q 19162",2
"Q 19163",2
"Q 19164",3
"Q 19165",5
"Q 19166",4
"Q 19167",3
"Q 19168",5
"Q 19169",1
"Q 19170",4
"Q 19171",3
"Q 19172",1
"Q 19173",3
"Q 19174",5
"Q 19175",4
"Q 19176",3
"Q 19177",5
"Q 19178",2
"Q 19179",2
"Q 19180",1
"Q 19181",4
"Q 19182",5
"Q 19183",4
"Q 19184",4
"Q 19185",2
"Q 19186",5
"Q 19187",2
"Q 19188",1
"Q 19189",1
"Q 19190",3
"Q 19191",3
"Q 19192",5
"Q 19193",3
"Q 19194",5
"Q 19195",2
"Q 19196",5
"Q 19197",3
"Q 19198",5
"Q 19199",4
"Q 19200",1
"Q 19201",2
"Q 19202",3
"Q 19203",5
"Q 19204",3
"Q 19205",4
"Q 19206",4
"Q 19207",5
"Q 19208",2
"Q 19209",2
"Q 19210",3
"Q 19211",1
"Q 19212",3
"Q 19213",2
"Q 19214",5
"Q 19215",2
"Q 19216",5
"Q 19217",4
"Q 19218",5
"Q 19219",5
"Q 19220",5
"Q 19221",3
"Q 19222",3
"Q 19223",1
"Q 19224",3
"Q 19225",5
"Q 19226",3
"Q 19227",1
"Q 19228",2
"Q 19229",4
"Q 19230",2
"Q 19231",1
"Q 19232",1
"Q 19233",3
"Q 19234",1
"Q 19235",3
"Q 19236",1
"Q 19237",2
"Q 19238",4
"Q 19239",3
"Q 19240",4
"Q 19241",4
"Q 19242",1
"Q 19243",2
"Q 19244",1
"Q 19245",1
"Q 19246",4
"Q 19247",4
"Q 19248",4
"Q 19249",4
"Q 19250",3
"Q 19251",5
"Q 19252",3
"Q 19253",3
"Q 19254",5
"Q 19255",5
"Q 19256",2
"Q 19257",1
"Q 19258",3
"Q 19259",1
"Q 19260",1
"Q 19261",3
"Q 19262",5
"Q 19263",1
"Q 19264",2
"Q 19265",4
"Q 19266",1
"Q 19267",5
"Q 19268",3
"Q 19269",2
"Q 19270",5
"Q 19271",2
"Q 19272",3
"Q 19273",2
"Q 19274",1
"Q 19275",2
"Q 19276",1
"Q 19277",4
"Q 19278",4
"Q 19279",4
"Q 19280",2
"Q 19281",5
"Q 19282",5
"Q 19283",3
"Q 19284",3
"Q 19285",5
"Q 19286",3
"Q 19287",4
"Q 19288",5
"Q 19289",2
"Q 19290",2
"Q 19291",2
"Q 19292",2
"Q 19293",2
"Q 19294",5
"Q 19295",2
"Q 19296",4
"Q 19297",1
"Q 19298",2
"Q 19299",2
"Q 19300",2
"Q 19301",3
"Q 19302",2
"Q 19303",1
"Q 19304",1
"Q 19305",1
"Q 19306",3
"Q 19307",4
"Q 19308",4
"Q 19309",3
"Q 19310",1
"Q 19311",4
"Q 19312",3
"Q 19313",1
"Q 19314",3
"Q 19315",2
"Q 19316",5
"Q 19317",3
"Q 19318",4
"Q 19319",3
"Q 19320",4
"Q 19321",2
"Q 19322",2
"Q 19323",3
"Q 19324",5
"Q 19325",2
"Q 19326",2
"Q 19327",2
"Q 19328",1
"Q 19329",3
"Q 19330",4
"Q 19331",5
"Q 19332",2
"Q 19333",1
"Q 19334",5
"Q 19335",1
"Q 19336",2
"Q 19337",4
"Q 19338",2
"Q 19339",3
"Q 19340",4
"Q 19341",3
"Q 19342",3
"Q 19343",3
"Q 19344",3
"Q 19345",3
"Q 19346",3
"Q 19347",1
"Q 19348",4
"Q 19349",3
"Q 19350",1
"Q 19351",4
"Q 19352",1
"Q 19353",2
"Q 19354",4
"Q 19355",2
"Q 19356",3
"Q 19357",1
"Q 19358",4
"Q 19359",5
"Q 19360",5
"Q 19361",1
"Q 19362",1
"Q 19363",3
"Q 19364",1
"Q 19365",3
"Q 19366",4
"Q 19367",5
"Q 19368",2
"Q 19369",2
"Q 19370",3
"Q 19371",4
"Q 19372",3
"Q 19373",2
"Q 19374",3
"Q 19375",4
"Q 19376",4
"Q 19377",1
"Q 19378",2
"Q 19379",2
"Q 19380",4
"Q 19381",1
"Q 19382",4
"Q 19383",5
"Q 19384",2
"Q 19385",1
"Q 19386",4
"Q 19387",5
"Q 19388",4
"Q 19389",5
"Q 19390",2
"Q 19391",5
"Q 19392",1
"Q 19393",3
"Q 19394",4
"Q 19395",1
"Q 19396",2
"Q 19397",3
"Q 19398",2
"Q 19399",4
"Q 19400",2
"Q 19401",5
"Q 19402",4
"Q 19403",5
"Q 19404",4
"Q 19405",2
"Q 19406",3
